{'round': 0, 'grad_norm_head': 0.535743764319683, 'grad_norm_feat': 0.9023137728354257}
{'round': 1, 'grad_norm_head': 0.34958820564026527, 'grad_norm_feat': 0.7631887528993065}
{'round': 2, 'grad_norm_head': 0.23582580223086635, 'grad_norm_feat': 0.5674237168802785}
{'round': 3, 'grad_norm_head': 0.16954291561423934, 'grad_norm_feat': 0.4210372228534397}
{'round': 4, 'grad_norm_head': 0.12657387075092996, 'grad_norm_feat': 0.324878382687291}
{'round': 5, 'grad_norm_head': 0.09880756734990767, 'grad_norm_feat': 0.26509282873058854}
{'round': 6, 'grad_norm_head': 0.08131275607163659, 'grad_norm_feat': 0.22849276869017185}
{'round': 7, 'grad_norm_head': 0.06982547303608926, 'grad_norm_feat': 0.20541794926442228}
{'round': 8, 'grad_norm_head': 0.06194997183511107, 'grad_norm_feat': 0.19035889365728068}
{'round': 9, 'grad_norm_head': 0.05618774771599477, 'grad_norm_feat': 0.17873654055771318}
{'round': 10, 'grad_norm_head': 0.05180492291663174, 'grad_norm_feat': 0.1695715542735203}
{'round': 11, 'grad_norm_head': 0.04818927996869588, 'grad_norm_feat': 0.16171508252011593}
{'round': 12, 'grad_norm_head': 0.04503472468731892, 'grad_norm_feat': 0.1550710299289526}
{'round': 13, 'grad_norm_head': 0.04227453711363147, 'grad_norm_feat': 0.14966583950211618}
{'round': 14, 'grad_norm_head': 0.039891838266067056, 'grad_norm_feat': 0.1433578233542253}
{'round': 15, 'grad_norm_head': 0.03770618704218227, 'grad_norm_feat': 0.13860685457087948}
{'round': 16, 'grad_norm_head': 0.03575503972974089, 'grad_norm_feat': 0.1330353508509994}
{'round': 17, 'grad_norm_head': 0.03402601839720387, 'grad_norm_feat': 0.12894137122819213}
{'round': 18, 'grad_norm_head': 0.03240385154324126, 'grad_norm_feat': 0.12464812159592666}
{'round': 19, 'grad_norm_head': 0.0309860318155172, 'grad_norm_feat': 0.12093506211534125}
{'round': 20, 'grad_norm_head': 0.02965960134706599, 'grad_norm_feat': 0.11757402724286427}
{'round': 21, 'grad_norm_head': 0.02844662754654752, 'grad_norm_feat': 0.11427358711366681}
{'round': 22, 'grad_norm_head': 0.027317474841305818, 'grad_norm_feat': 0.11108743356087945}
{'round': 23, 'grad_norm_head': 0.02634406257862002, 'grad_norm_feat': 0.10828170276067532}
{'round': 24, 'grad_norm_head': 0.025428789786988943, 'grad_norm_feat': 0.10576018992583987}
{'round': 25, 'grad_norm_head': 0.024586034395219274, 'grad_norm_feat': 0.10317156153822367}
{'round': 26, 'grad_norm_head': 0.023808432691177144, 'grad_norm_feat': 0.10127931025844139}
{'round': 27, 'grad_norm_head': 0.023097372722876937, 'grad_norm_feat': 0.09899987718877369}
{'round': 28, 'grad_norm_head': 0.02243928931238916, 'grad_norm_feat': 0.0968655393866934}
{'round': 29, 'grad_norm_head': 0.021803067111454105, 'grad_norm_feat': 0.09512486405359263}
{'round': 30, 'grad_norm_head': 0.0212122070877057, 'grad_norm_feat': 0.09324376672157823}
{'round': 31, 'grad_norm_head': 0.0206551243287883, 'grad_norm_feat': 0.09146286198189701}
{'round': 32, 'grad_norm_head': 0.020127068709859065, 'grad_norm_feat': 0.08950438554771038}
{'round': 33, 'grad_norm_head': 0.0196301362271978, 'grad_norm_feat': 0.08813215653984811}
{'round': 34, 'grad_norm_head': 0.01916984013968989, 'grad_norm_feat': 0.08717497343804612}
